#Curated_gene_name	Resistance_Mechanism	Drug_Class	Gene_names_variation	GNV_2	GNV_3	GNV_4	GNV_5	GNV_6	GNV_7	GNV_8	GNV_9	GNV_1	GNV_11	GNV_12
aac(3)-II	inactivation	Aminoglycoside	aac(3)-II											
AAC(3)-IId	inactivation	Aminoglycoside	aac(3)-IId_1											
aac(6')_Serra	inactivation	Aminoglycoside	aac(6')_Serra											
AAC(6')-Ic	inactivation	Aminoglycoside	aac(6')-Ic_1											
AAC(6')-Ie-APH(2'')-Ia	inactivation	Aminoglycoside	aac(6')-aph(2'')_1											
AAC(6')-Ii	inactivation	Aminoglycoside	aac(6')-Ii_1											
aac(6')-Iid	inactivation	Aminoglycoside	aac(6')-Iid	aac(6')-Iid_1	AAC(6')-lid									
AAC(6')-Iih	inactivation	Aminoglycoside	aac(6')-Iih_1											
AAC(6')-Iy	inactivation	Aminoglycoside	aac(6')-Iaa_1											
AAC(6')-Iz	inactivation	Aminoglycoside	aac(6')-Iz_1											
aacA-ACI7	inactivation	Aminoglycoside	aacA-ACI7	aac(6')-Iw_1	AAC(6')-Iw									
aacA-ENT1	inactivation	Aminoglycoside	aacA-ENT1											
aacA-ENT2	inactivation	Aminoglycoside	aacA-ENT2											
aadA1	inactivation	Aminoglycoside	aadA1											
aadA2	inactivation	Aminoglycoside	aadA2_1											
aadA27	inactivation	Aminoglycoside	aadA27											
aadA5	inactivation	Aminoglycoside	aadA5	aadA5_1										
aadA6	inactivation	Aminoglycoside	aad(6)	aadA6_1										
aadS	inactivation	Aminoglycoside	aadS											
AbaF	efflux	MDR	Acinetobacter_baumannii_AbaF											
AbaQ	efflux	MDR	Acinetobacter_baumannii_AbaQ											
abeM	efflux	MDR	abeM											
abeS	efflux	MDR	abeS											
acrA	efflux	MDR	Enterobacter_cloacae_acrA	Escherichia_coli_acrA	Klebsiella_pneumoniae_acrA									
acrB	efflux	MDR	acrB											
acrD	efflux	MDR	acrD											
acrE	efflux	MDR	acrE											
acrF	efflux	MDR	acrF											
acrS	efflux	MDR	acrS											
adeA	efflux	Tetracycline	adeA											
adeB	efflux	MDR	adeB											
adeC	efflux	Tetracycline	adeC											
adeF	efflux	MDR	adeF											
adeG	efflux	MDR	adeG											
adeH	efflux	MDR	adeH											
adeI	efflux	MDR	adeI											
adeJ	efflux	MDR	adeJ											
adeK	efflux	MDR	adeK											
adeL	efflux	MDR	adeL											
adeN	efflux	MDR	adeN											
adeR	efflux	MDR	adeR											
adeS	efflux	MDR	adeS											
ampC	inactivation	Beta-Lactam	Escherichia_coli_ampC1_beta-lactamase	Escherichia_coli_ampC										
ampH	inactivation	Beta-Lactam	Escherichia_coli_ampH											
amrA	efflux	Aminoglycoside	amrA											
amrB	efflux	Aminoglycoside	amrB											
AmvA	efflux	MDR	Acinetobacter_baumannii_AmvA											
ant(3'')-IIa	inactivation	Aminoglycoside	ant(3'')-IIa	ANT(3'')-IIa	ant(3'')-Ia_1									
ANT(3'')-IIc	inactivation	Aminoglycoside	ant(3'')-IIc											
ant(6)-Ia	inactivation	Aminoglycoside	ANT(6)-Ia	ant(6)-Ia_1	ant(6)-Ia_2									
ant(9)-Ia	inactivation	Aminoglycoside	ant(9)-Ia_1											
APH(2'')-If	inactivation	Aminoglycoside	aph(2'')-If											
aph(2'')-Ih	inactivation	Aminoglycoside	APH(2'')-Ih											
aph(3')-Ia	inactivation	Aminoglycoside	APH(3')-Ia											
APH(3')-Ib	inactivation	Aminoglycoside	aph(3')-Ia_1	aph(3')-Ia_2	aph(3')-Ia_3	aph(3')-Ia_5	aph(3')-Ia_7							
aph(3'')-Ib	inactivation	Aminoglycoside	aph(3'')-Ib_2	aph(3'')-Ib_5	APH(3'')-Ib									
APH(3')-IIb	inactivation	Aminoglycoside	aph(3')-IIb_2	APH(3')-IIb										
aph(3')-IIc	inactivation	Aminoglycoside	aph(3')-IIc_1	APH(3')-IIc	aph(6)-Smalt									
APH(3')-IIIa	inactivation	Aminoglycoside	APH(3')-IIIa											
APH(3')-VI	inactivation	Aminoglycoside	aph(3')-VI_1	APH(3')-VI										
